ID,NAME,LAT,LNG,DESCRIPTION,IMAGE,USER
1,Place1,7.87242,114.46525,Description1,1,1
2,Place2,-26.38953,-87.49706,Description2,1,2
3,Place3,22.0499,121.16848,Description3,1,2
4,Place4,13.74381,-81.2918,Description4,1,2
5,Place5,60.07798,-178.43571,Description5,1,2
6,Place6,47.94862,59.95916,Description6,1,2
7,Place7,7.34597,89.08379,Description7,1,2
8,Place8,-12.87051,-176.08082,Description8,1,2
9,Place9,37.64466,49.62869,Description9,1,2
10,Place10,57.76343,-85.53809,Description10,1,2
11,Place11,-58.06431,-86.62655,Description11,1,2
12,Place12,-1.40017,-110.03091,Description12,1,2
13,Place13,-48.20039,-67.28805,Description13,1,2
14,Place14,4.34958,-77.28306,Description14,1,2
15,Place15,75.86966,-159.22711,Description15,1,2
16,Place16,-7.56808,-78.93868,Description16,1,2
17,Place17,43.55615,-173.40537,Description17,1,2
18,Place18,-55.16954,105.70252,Description18,1,2
19,Place19,26.68024,-124.72019,Description19,1,2
20,Place20,-29.48595,84.48679,Description20,1,2
21,Place21,20.08544,65.64081,Description21,1,2
22,Place22,29.15727,116.82047,Description22,1,2
23,Place23,26.95092,-25.31671,Description23,1,2
24,Place24,-32.02616,-96.01432,Description24,1,2
25,Place25,23.32146,90.41679,Description25,1,2
26,Place26,70.36412,-17.49202,Description26,1,2
27,Place27,41.29462,129.39548,Description27,1,2
28,Place28,27.17918,91.26465,Description28,1,2
29,Place29,37.4361,89.39541,Description29,1,2
30,Place30,-10.03013,118.39609,Description30,1,2
31,Place31,-46.52869,153.45468,Description31,1,2
32,Place32,51.06344,-56.5409,Description32,1,2
33,Place33,-24.73198,-152.17416,Description33,1,2
34,Place34,-10.03897,-124.06736,Description34,1,2
35,Place35,-21.11937,49.81996,Description35,1,2
36,Place36,29.52363,-131.66127,Description36,1,3
37,Place37,-3.6194,-115.82809,Description37,1,3
38,Place38,33.22826,18.0412,Description38,1,3
39,Place39,-48.88057,90.94935,Description39,1,3
40,Place40,-17.85903,-95.53163,Description40,1,3
41,Place41,-25.07955,-55.18857,Description41,1,3
42,Place42,-59.11923,-176.17626,Description42,1,3
43,Place43,-7.91479,-150.8156,Description43,1,3
44,Place44,68.99155,-49.02725,Description44,1,3
45,Place45,74.62543,21.83891,Description45,1,3
46,Place46,60.85439,176.01624,Description46,1,3
47,Place47,-4.89757,173.54818,Description47,1,3
48,Place48,62.88515,15.34889,Description48,1,3
49,Place49,30.61304,-51.43285,Description49,1,3
50,Place50,41.04333,16.20681,Description50,1,3
51,Place51,-30.21664,-175.41716,Description51,1,3
52,Place52,35.80475,138.80232,Description52,1,3
53,Place53,-58.56012,-82.31513,Description53,1,3
54,Place54,-1.33807,143.63785,Description54,1,3
55,Place55,-49.4652,64.34998,Description55,1,3
56,Place56,-16.72675,-50.1352,Description56,1,3
57,Place57,-44.6768,-153.56932,Description57,1,3
58,Place58,14.13383,-27.52035,Description58,1,3
59,Place59,-38.2209,74.12453,Description59,1,3
60,Place60,-19.65461,-102.04112,Description60,1,3
61,Place61,5.58038,144.87132,Description61,1,3
62,Place62,39.79032,-129.01162,Description62,1,3
63,Place63,-11.76857,0.43926,Description63,1,3
64,Place64,-22.16005,167.70757,Description64,1,3
65,Place65,-19.94335,162.13122,Description65,1,3
66,Place66,57.63094,-1.84902,Description66,1,3
67,Place67,-21.42267,66.22303,Description67,1,3
68,Place68,-53.5245,57.14984,Description68,1,3
69,Place69,37.76679,-89.0206,Description69,1,3
70,Place70,-61.43891,89.36545,Description70,1,3
71,Place71,33.86775,-138.91994,Description71,1,3
72,Place72,5.91285,-32.68024,Description72,1,3
73,Place73,56.05558,128.19147,Description73,1,3
74,Place74,-33.15522,20.45496,Description74,1,3
75,Place75,-71.6648,176.47502,Description75,1,3
76,Place76,20.08974,-154.03694,Description76,1,3
77,Place77,-10.22149,160.74952,Description77,1,3
78,Place78,-9.57134,70.00489,Description78,1,3
79,Place79,-24.50885,156.56643,Description79,1,3
80,Place80,35.82102,-22.10956,Description80,1,3
81,Place81,55.17664,163.12714,Description81,1,3
82,Place82,35.14275,-86.30053,Description82,1,3
83,Place83,-1.59522,-11.40568,Description83,1,3
84,Place84,-7.65165,43.3095,Description84,1,3
85,Place85,26.52074,-59.30929,Description85,1,3
86,Place86,21.01619,-9.15383,Description86,1,4
87,Place87,30.18085,-128.23291,Description87,1,4
88,Place88,-4.54264,-77.17279,Description88,1,4
89,Place89,-1.33109,153.39123,Description89,1,4
90,Place90,28.64036,-151.3905,Description90,1,4
91,Place91,-32.0335,176.47646,Description91,1,4
92,Place92,-14.77057,-120.27077,Description92,1,4
93,Place93,-22.08181,-135.77842,Description93,1,4
94,Place94,-0.79653,171.48487,Description94,1,4
95,Place95,7.79646,138.78463,Description95,1,4
96,Place96,-52.88173,-117.25423,Description96,1,4
97,Place97,30.56415,129.49635,Description97,1,4
98,Place98,24.79679,105.40687,Description98,1,4
99,Place99,16.07702,100.82337,Description99,1,4
100,Place100,74.34267,-90.02461,Description100,1,4
101,Place101,20.73269,16.29066,Description101,1,4
102,Place102,14.5245,144.45395,Description102,1,4
103,Place103,-10.27965,-80.9197,Description103,1,4
104,Place104,9.05825,-139.59069,Description104,1,4
105,Place105,-56.66735,-166.98266,Description105,1,4
106,Place106,-29.36646,142.21469,Description106,1,4
107,Place107,-3.48483,-19.49376,Description107,1,4
108,Place108,-47.48389,-157.06181,Description108,1,4
109,Place109,11.06151,30.36671,Description109,1,4
110,Place110,-24.43135,98.32084,Description110,1,4
111,Place111,23.21195,-163.8841,Description111,1,4
112,Place112,45.54203,108.34553,Description112,1,4
113,Place113,-1.92255,52.07029,Description113,1,4
114,Place114,38.5228,-146.39829,Description114,1,4
115,Place115,-55.43568,80.54686,Description115,1,4
116,Place116,-35.92658,-59.14635,Description116,1,4
117,Place117,-7.31457,-100.71761,Description117,1,4
118,Place118,24.62331,-65.55907,Description118,1,4
119,Place119,76.03745,-141.51041,Description119,1,4
120,Place120,-19.45424,77.6012,Description120,1,4
121,Place121,54.54147,-20.62221,Description121,1,4
122,Place122,-58.76934,-59.91858,Description122,1,4
123,Place123,4.92248,148.92984,Description123,1,4
124,Place124,44.15598,-65.04479,Description124,1,4
125,Place125,-9.38066,154.75054,Description125,1,4
126,Place126,32.51288,-36.00031,Description126,1,4
127,Place127,-7.59823,45.40621,Description127,1,5
128,Place128,35.51254,14.0389,Description128,1,5
129,Place129,-24.41618,-51.69969,Description129,1,5
130,Place130,-9.42917,87.18385,Description130,1,5
131,Place131,-28.75332,-83.07009,Description131,1,5
132,Place132,7.10887,168.59947,Description132,1,5
133,Place133,-26.23151,108.11008,Description133,1,5
134,Place134,42.50477,37.66894,Description134,1,5
135,Place135,3.72781,-146.22734,Description135,1,5
136,Place136,3.08321,28.02656,Description136,1,5
137,Place137,-55.03114,-98.38401,Description137,1,5
138,Place138,58.97664,30.41933,Description138,1,5
139,Place139,27.23043,-156.58684,Description139,1,5
140,Place140,23.51043,-142.99982,Description140,1,5
141,Place141,29.98691,-0.51122,Description141,1,5
142,Place142,54.60254,-119.34806,Description142,1,5
143,Place143,-25.59522,144.87585,Description143,1,5
144,Place144,-30.4862,-69.27202,Description144,1,5
145,Place145,-64.44069,159.84277,Description145,1,5
146,Place146,-35.70557,-42.10307,Description146,1,5
147,Place147,11.16023,-164.30287,Description147,1,5
148,Place148,17.43397,-175.94761,Description148,1,5
149,Place149,27.99376,-32.70414,Description149,1,5
150,Place150,-23.96527,135.41901,Description150,1,5
151,Place151,76.8613,-137.82913,Description151,1,5
152,Place152,26.85752,-178.70515,Description152,1,5
153,Place153,-14.50434,7.33331,Description153,1,5
154,Place154,24.15658,-53.09596,Description154,1,5
155,Place155,8.04073,22.5087,Description155,1,5
156,Place156,-41.91287,-104.55043,Description156,1,5
157,Place157,-4.79487,155.89957,Description157,1,5
158,Place158,18.09285,177.5012,Description158,1,5
159,Place159,32.78808,101.60381,Description159,1,5
160,Place160,1.72157,-123.24235,Description160,1,5
161,Place161,4.08087,6.95073,Description161,1,5
162,Place162,-4.37423,-16.16833,Description162,1,5
163,Place163,-13.2301,-23.0994,Description163,1,5
164,Place164,-60.23303,170.13879,Description164,1,5
165,Place165,-69.25715,-67.93575,Description165,1,5
166,Place166,-42.27833,-9.38891,Description166,1,5
167,Place167,-73.28192,15.4645,Description167,1,5
168,Place168,-29.34913,110.0537,Description168,1,5
169,Place169,-2.81487,-150.36311,Description169,1,5
170,Place170,-3.14965,90.27621,Description170,1,6
171,Place171,-10.67168,-72.24828,Description171,1,6
172,Place172,-47.18269,81.8193,Description172,1,6
173,Place173,-52.89341,-121.65518,Description173,1,6
174,Place174,34.13503,106.79871,Description174,1,6
175,Place175,-49.94555,-15.47108,Description175,1,6
176,Place176,7.58593,-43.0337,Description176,1,6
177,Place177,-32.4549,162.1971,Description177,1,6
178,Place178,-54.65735,-150.09507,Description178,1,6
179,Place179,-54.74487,120.30664,Description179,1,6
180,Place180,-27.51975,-64.01321,Description180,1,6
181,Place181,54.35003,49.67037,Description181,1,6
182,Place182,-63.74625,-33.74996,Description182,1,6
183,Place183,25.82762,-97.89095,Description183,1,6
184,Place184,-77.12821,116.87985,Description184,1,6
185,Place185,63.55252,-0.5611,Description185,1,6
186,Place186,-69.19677,-97.71095,Description186,1,6
187,Place187,64.32598,1.50647,Description187,1,6
188,Place188,-5.30941,152.1605,Description188,1,6
189,Place189,67.36263,90.74548,Description189,1,6
190,Place190,-37.27663,14.0472,Description190,1,6
191,Place191,-12.6127,136.21765,Description191,1,6
192,Place192,7.58589,-45.94807,Description192,1,6
193,Place193,-25.86552,112.62137,Description193,1,6
194,Place194,58.52888,78.75256,Description194,1,6
195,Place195,-35.06363,-73.65103,Description195,1,6
196,Place196,26.79467,132.07611,Description196,1,6
197,Place197,14.33527,-117.60424,Description197,1,6
198,Place198,41.04883,-131.90283,Description198,1,6
199,Place199,-6.41025,58.4994,Description199,1,6
200,Place200,11.23486,-74.57251,Description200,1,6
201,Place201,-65.75797,-51.60903,Description201,1,6
202,Place202,-54.55656,-124.66278,Description202,1,6
203,Place203,32.50741,-61.59781,Description203,1,6
204,Place204,-64.08986,-178.71739,Description204,1,6
205,Place205,-48.72743,-66.45962,Description205,1,6
206,Place206,50.47673,-151.15018,Description206,1,6
207,Place207,-31.28447,-174.30484,Description207,1,6
208,Place208,-14.2521,134.9154,Description208,1,6
209,Place209,48.18792,-142.32559,Description209,1,6
210,Place210,13.58856,124.37833,Description210,1,6
211,Place211,12.65402,94.13114,Description211,1,6
212,Place212,-26.61731,-122.61829,Description212,1,6
213,Place213,-7.77044,-32.30574,Description213,1,6
214,Place214,20.77614,-178.86051,Description214,1,6
215,Place215,-25.78704,81.41281,Description215,1,6
216,Place216,75.12567,-177.87158,Description216,1,6
217,Place217,13.21405,-144.14284,Description217,1,6
218,Place218,-33.56302,168.20256,Description218,1,6
219,Place219,-6.89687,-32.22894,Description219,1,7
220,Place220,85.5745,-139.76766,Description220,1,7
221,Place221,-3.56692,80.66186,Description221,1,7
222,Place222,-80.36767,-17.88971,Description222,1,7
223,Place223,-24.03286,-140.96835,Description223,1,7
224,Place224,25.71575,108.7061,Description224,1,7
225,Place225,18.12832,154.08934,Description225,1,7
226,Place226,62.6765,3.69052,Description226,1,7
227,Place227,62.76428,-137.99223,Description227,1,7
228,Place228,-35.63337,66.91271,Description228,1,7
229,Place229,-11.13707,34.54516,Description229,1,7
230,Place230,-27.77796,80.55968,Description230,1,7
231,Place231,56.8411,23.56981,Description231,1,7
232,Place232,47.24414,-142.3787,Description232,1,7
233,Place233,17.84774,-76.26147,Description233,1,7
234,Place234,-15.93069,122.6975,Description234,1,7
235,Place235,-1.4664,-117.73764,Description235,1,7
236,Place236,17.49847,135.94295,Description236,1,7
237,Place237,39.88188,116.07973,Description237,1,7
238,Place238,-37.73682,168.32707,Description238,1,7
239,Place239,-4.25802,-25.65043,Description239,1,7
240,Place240,32.82359,-127.71143,Description240,1,7
241,Place241,-50.29041,135.64481,Description241,1,7
242,Place242,-61.38501,-175.86558,Description242,1,7
243,Place243,6.49712,96.96147,Description243,1,7
244,Place244,-77.04576,-152.94054,Description244,1,7
245,Place245,36.16645,158.94733,Description245,1,7
246,Place246,49.4574,1.18405,Description246,1,7
247,Place247,-13.98411,37.58407,Description247,1,7
248,Place248,-33.66566,134.02832,Description248,1,7
249,Place249,42.49926,125.67042,Description249,1,7
250,Place250,0.70843,62.46077,Description250,1,7
251,Place251,-15.80236,176.64101,Description251,1,7
252,Place252,-24.35035,30.94492,Description252,1,7
253,Place253,-47.25926,51.26745,Description253,1,7
254,Place254,-63.1983,67.18606,Description254,1,7
255,Place255,-4.02437,91.66827,Description255,1,7
256,Place256,-60.41794,-155.17252,Description256,1,7
257,Place257,31.60362,-36.27431,Description257,1,7
258,Place258,30.90697,5.72036,Description258,1,7
259,Place259,-38.50283,139.01156,Description259,1,7
260,Place260,-25.12249,-15.13191,Description260,1,7
261,Place261,68.66102,175.69103,Description261,1,7
262,Place262,51.91064,-29.80794,Description262,1,7
263,Place263,13.04347,58.25275,Description263,1,7
264,Place264,-29.53886,-89.37516,Description264,1,8
265,Place265,-15.12903,-125.72283,Description265,1,8
266,Place266,-10.11746,127.85101,Description266,1,8
267,Place267,5.65643,-154.70404,Description267,1,8
268,Place268,-25.10283,-150.22244,Description268,1,8
269,Place269,81.27897,-71.00188,Description269,1,8
270,Place270,33.73126,-37.89065,Description270,1,8
271,Place271,-39.07652,-45.36264,Description271,1,8
272,Place272,-31.20762,66.82056,Description272,1,8
273,Place273,-40.40544,155.7401,Description273,1,8
274,Place274,32.71501,-146.29069,Description274,1,8
275,Place275,-42.35114,25.88261,Description275,1,8
276,Place276,44.35076,-13.01067,Description276,1,8
277,Place277,-15.8867,-162.60215,Description277,1,8
278,Place278,-80.51554,-73.59222,Description278,1,8
279,Place279,21.22644,-47.03339,Description279,1,8
280,Place280,-4.27489,94.61047,Description280,1,8
281,Place281,-53.86397,-163.89564,Description281,1,8
282,Place282,-55.74122,105.03065,Description282,1,8
283,Place283,34.09495,-53.95553,Description283,1,8
284,Place284,30.08433,-164.22165,Description284,1,8
285,Place285,32.39444,47.4773,Description285,1,8
286,Place286,30.89888,-43.21162,Description286,1,8
287,Place287,-2.8469,-174.57909,Description287,1,8
288,Place288,-63.51106,-67.98959,Description288,1,8
289,Place289,28.84361,124.38207,Description289,1,8
290,Place290,15.30784,-47.50513,Description290,1,8
291,Place291,-11.52644,85.46382,Description291,1,8
292,Place292,-24.42132,23.48805,Description292,1,9
293,Place293,-2.65582,2.04319,Description293,1,9
294,Place294,-26.65812,32.59137,Description294,1,9
295,Place295,44.16941,102.17089,Description295,1,9
296,Place296,-4.52794,115.56187,Description296,1,9
297,Place297,6.01467,-114.92869,Description297,1,9
298,Place298,41.29335,-8.17982,Description298,1,9
299,Place299,-27.57303,-122.21208,Description299,1,9
300,Place300,-28.97188,118.67806,Description300,1,9
301,Place301,79.7608,73.06563,Description301,1,9
302,Place302,-31.52375,125.18312,Description302,1,9
303,Place303,2.18442,-56.33085,Description303,1,9
304,Place304,28.59034,-147.82598,Description304,1,9
305,Place305,-43.60105,43.66335,Description305,1,9
306,Place306,-14.97191,-46.92874,Description306,1,9
307,Place307,-5.43323,162.03483,Description307,1,9
308,Place308,-8.50958,58.1263,Description308,1,9
309,Place309,43.41703,-102.25318,Description309,1,9
310,Place310,35.62964,-78.76413,Description310,1,9
311,Place311,-19.46549,74.89365,Description311,1,9
312,Place312,56.99626,150.94052,Description312,1,10
