ID,NAME,LAT,LNG,DESCRIPTION,IMAGE,USER
1,Place1,-18.56573,-60.36511,Description1,,1
2,Place2,-74.33133,-111.01475,Description2,8,1
3,Place3,5.89083,-166.15475,Description3,6,1
4,Place4,-31.48938,2.2241,Description4,10,1
5,Place5,-6.48251,-68.51704,Description5,2,1
6,Place6,7.87437,21.53656,Description6,6,1
7,Place7,-58.5257,-24.35985,Description7,,1
8,Place8,9.32761,167.76653,Description8,,1
9,Place9,-7.20151,138.81417,Description9,2,1
10,Place10,57.76591,-76.83707,Description10,8,1
11,Place11,-55.97307,-171.84858,Description11,,1
12,Place12,30.47995,141.54632,Description12,10,1
13,Place13,-6.26722,-164.76367,Description13,7,1
14,Place14,4.10207,175.64647,Description14,6,1
15,Place15,-2.07096,-130.5924,Description15,7,1
16,Place16,-27.80404,-129.07941,Description16,5,1
17,Place17,-44.77699,141.83726,Description17,3,1
18,Place18,-2.2193,-48.25665,Description18,7,1
19,Place19,-50.80184,-5.83141,Description19,7,1
20,Place20,-34.96742,115.97165,Description20,5,1
21,Place21,2.80676,-26.12118,Description21,3,1
22,Place22,6.2586,-45.41462,Description22,10,1
23,Place23,-19.01351,17.28418,Description23,6,1
24,Place24,-1.08227,-77.22708,Description24,7,1
25,Place25,12.17902,-0.21473,Description25,2,2
26,Place26,-21.90697,146.38787,Description26,8,2
27,Place27,-27.68402,177.22406,Description27,2,2
28,Place28,-59.7731,0.27856,Description28,10,2
29,Place29,-59.07512,-92.45771,Description29,5,3
30,Place30,41.27514,13.5947,Description30,8,3
31,Place31,46.74473,-103.76479,Description31,6,3
32,Place32,-53.71377,-43.75878,Description32,7,3
33,Place33,-5.80744,146.88043,Description33,6,3
34,Place34,-22.2212,136.95691,Description34,3,3
35,Place35,48.83222,97.76682,Description35,5,3
36,Place36,-45.20178,-74.50008,Description36,10,3
37,Place37,13.77064,-152.58465,Description37,7,3
38,Place38,-58.18821,48.48405,Description38,6,4
39,Place39,2.34815,179.53937,Description39,3,4
40,Place40,46.68432,91.05784,Description40,8,4
41,Place41,35.80592,-12.99315,Description41,2,4
42,Place42,20.68415,81.68997,Description42,2,4
43,Place43,-66.34648,10.14452,Description43,8,4
44,Place44,-45.3732,149.91715,Description44,6,4
45,Place45,2.32475,-117.81311,Description45,7,4
46,Place46,-37.67842,62.3771,Description46,5,4
47,Place47,31.14786,167.89554,Description47,,4
48,Place48,6.74757,-86.0349,Description48,3,4
49,Place49,20.4538,-127.3148,Description49,7,4
50,Place50,24.29322,33.12789,Description50,3,4
51,Place51,-41.85571,-31.13989,Description51,7,4
52,Place52,54.56139,58.57178,Description52,7,4
53,Place53,80.6255,95.89406,Description53,,4
54,Place54,17.02203,-112.86179,Description54,5,4
55,Place55,3.63618,-45.55876,Description55,7,4
56,Place56,15.75303,27.1776,Description56,5,4
57,Place57,-61.84404,-85.34789,Description57,10,4
58,Place58,-45.24228,-146.65319,Description58,7,4
59,Place59,-13.18675,-144.64815,Description59,3,4
60,Place60,-18.94298,-65.3037,Description60,3,4
61,Place61,1.02296,-18.1985,Description61,8,4
62,Place62,-44.08749,-167.72322,Description62,6,4
63,Place63,18.70608,38.74722,Description63,,4
64,Place64,9.72197,125.67386,Description64,8,4
65,Place65,28.56593,74.24954,Description65,10,4
66,Place66,60.33904,-64.17733,Description66,10,4
67,Place67,-20.90967,-111.4146,Description67,3,4
68,Place68,-19.3671,145.65807,Description68,7,4
69,Place69,-7.97856,-18.43524,Description69,6,4
70,Place70,57.99352,-138.79773,Description70,10,4
71,Place71,-27.67364,80.21734,Description71,2,4
72,Place72,12.26655,-59.91967,Description72,6,4
73,Place73,-0.31192,30.25534,Description73,5,4
74,Place74,70.53722,132.98151,Description74,2,4
75,Place75,-69.55257,-81.85868,Description75,5,5
76,Place76,32.90903,149.55324,Description76,5,5
77,Place77,-16.52537,-175.56269,Description77,10,5
78,Place78,-28.65094,164.45164,Description78,8,5
79,Place79,-29.70614,-20.81437,Description79,10,7
80,Place80,-65.67004,10.21364,Description80,7,7
81,Place81,-83.66464,116.40796,Description81,7,7
82,Place82,37.84052,89.40983,Description82,10,7
83,Place83,57.99598,-141.4852,Description83,2,7
84,Place84,44.09258,-55.54734,Description84,6,8
85,Place85,62.16904,-47.44349,Description85,,8
86,Place86,2.42078,108.03152,Description86,8,8
87,Place87,-74.3025,119.14391,Description87,5,8
88,Place88,-44.72781,126.31658,Description88,8,8
89,Place89,-19.09366,77.21921,Description89,2,8
90,Place90,64.93218,169.09551,Description90,,8
91,Place91,11.60261,-116.2774,Description91,5,8
92,Place92,-14.3696,-98.84656,Description92,10,8
93,Place93,0.16695,-44.30407,Description93,3,8
94,Place94,21.14901,-113.88132,Description94,2,8
95,Place95,-41.70595,-3.1982,Description95,6,8
96,Place96,39.7826,-44.13371,Description96,3,8
97,Place97,8.15726,-146.87302,Description97,2,8
98,Place98,-10.18387,31.29924,Description98,6,8
99,Place99,-18.85061,154.9082,Description99,10,8
100,Place100,-66.43889,78.17858,Description100,3,8
101,Place101,52.31985,54.55136,Description101,5,8
102,Place102,-23.85777,-18.3213,Description102,3,8
103,Place103,-7.25308,140.30521,Description103,3,8
104,Place104,55.03368,13.00994,Description104,2,8
105,Place105,62.26782,-114.47725,Description105,3,8
106,Place106,-19.47058,170.78379,Description106,2,8
107,Place107,33.71297,58.18879,Description107,6,8
108,Place108,-60.32061,147.28319,Description108,,8
109,Place109,54.23993,-107.10144,Description109,6,8
110,Place110,-38.49227,42.47062,Description110,10,8
111,Place111,9.41461,-57.38665,Description111,2,8
112,Place112,55.25555,-97.81877,Description112,10,8
113,Place113,-4.42949,-94.67734,Description113,8,8
114,Place114,32.37793,-40.63855,Description114,3,8
115,Place115,9.7265,-87.05453,Description115,,9
116,Place116,-62.31156,64.22799,Description116,7,9
117,Place117,37.05493,154.98161,Description117,3,9
118,Place118,11.78752,-144.49002,Description118,2,9
119,Place119,52.18731,137.30591,Description119,,9
120,Place120,33.06906,12.44004,Description120,3,9
121,Place121,59.19414,-50.12187,Description121,2,9
122,Place122,-9.57032,-76.61988,Description122,7,9
123,Place123,-34.05709,128.7802,Description123,,9
124,Place124,-72.90944,129.94631,Description124,2,9
125,Place125,36.28091,-71.01,Description125,,9
126,Place126,-2.82711,-166.23791,Description126,8,9
127,Place127,-72.97449,-7.98117,Description127,10,9
128,Place128,71.08576,-106.12504,Description128,,9
129,Place129,28.01937,33.10472,Description129,7,9
130,Place130,-38.53313,12.78737,Description130,5,9
131,Place131,-25.6535,-46.60931,Description131,,9
132,Place132,41.16761,-24.84794,Description132,10,9
133,Place133,11.93734,-45.48313,Description133,10,9
134,Place134,77.39451,-165.50121,Description134,3,9
135,Place135,21.27582,142.27308,Description135,,9
136,Place136,34.35506,133.85107,Description136,10,9
137,Place137,77.52607,11.01448,Description137,8,9
138,Place138,-9.18856,-142.03957,Description138,6,9
139,Place139,8.5038,34.21947,Description139,8,9
140,Place140,18.04258,79.29855,Description140,,9
141,Place141,-28.14029,-96.34599,Description141,5,9
142,Place142,34.36467,-122.70156,Description142,5,9
143,Place143,-37.21106,-173.09019,Description143,6,9
144,Place144,-60.61413,-1.39779,Description144,6,9
145,Place145,-29.39539,-105.7714,Description145,3,9
146,Place146,-7.99123,47.96553,Description146,2,9
147,Place147,-68.43494,-106.18703,Description147,2,9
148,Place148,71.63427,111.44824,Description148,6,9
149,Place149,23.79029,14.5487,Description149,8,10
150,Place150,-20.99525,53.49034,Description150,3,10
151,Place151,1.97333,-122.67703,Description151,7,10
152,Place152,11.84174,-147.66261,Description152,8,10
153,Place153,-20.42799,158.30972,Description153,10,10
154,Place154,30.51039,-85.9415,Description154,8,10
155,Place155,-1.37179,156.60339,Description155,8,10
156,Place156,-42.63728,-107.37139,Description156,2,10
157,Place157,-58.33235,-57.18196,Description157,2,10
158,Place158,49.12171,149.87625,Description158,6,10
159,Place159,-11.03698,-146.13488,Description159,8,10
160,Place160,17.92376,40.05568,Description160,3,10
161,Place161,67.23104,-61.11324,Description161,6,10
162,Place162,-32.61543,74.26565,Description162,6,10
163,Place163,14.80357,60.7443,Description163,6,10
164,Place164,16.51582,92.40615,Description164,,10
165,Place165,79.20092,60.57445,Description165,8,10
166,Place166,-1.36597,-113.03197,Description166,6,10
167,Place167,-28.0348,8.49024,Description167,3,10
168,Place168,-33.68803,-4.90807,Description168,,10
169,Place169,-8.02171,137.48324,Description169,2,10
170,Place170,38.30594,-12.16539,Description170,8,10
171,Place171,2.72217,-151.70411,Description171,8,10
172,Place172,-31.60928,-160.66233,Description172,,10
173,Place173,-13.78615,109.17264,Description173,,10
174,Place174,49.1614,-165.56383,Description174,5,10
175,Place175,21.71521,-2.89269,Description175,3,10
176,Place176,17.07301,-111.43313,Description176,10,10
177,Place177,-49.81348,-43.25104,Description177,5,10
178,Place178,-27.279,76.73493,Description178,,11
179,Place179,-2.46622,-35.87743,Description179,5,11
180,Place180,18.98353,113.4906,Description180,3,11
181,Place181,52.59476,67.48925,Description181,10,11
182,Place182,58.08431,-163.83545,Description182,5,11
183,Place183,-3.57675,-166.72455,Description183,8,11
184,Place184,-45.2756,-97.47192,Description184,6,11
185,Place185,-74.82527,-34.99321,Description185,3,11
186,Place186,29.1827,-16.19248,Description186,3,11
187,Place187,-43.87545,44.49762,Description187,8,11
188,Place188,-44.81593,-25.17208,Description188,6,11
189,Place189,-47.82842,103.1885,Description189,5,11
190,Place190,-62.02718,110.35673,Description190,10,11
191,Place191,1.61705,-22.71575,Description191,2,11
192,Place192,-57.69176,50.35087,Description192,,11
193,Place193,-30.41571,-40.09755,Description193,8,11
194,Place194,-45.08416,-115.55736,Description194,7,11
195,Place195,27.57103,-176.82425,Description195,3,11
196,Place196,74.57383,75.8716,Description196,3,11
197,Place197,-34.3283,133.24376,Description197,6,11
198,Place198,-41.70825,65.15319,Description198,3,11
199,Place199,-1.07821,-121.26706,Description199,6,11
200,Place200,-37.42947,-152.16457,Description200,8,11
201,Place201,54.85368,-7.60219,Description201,7,11
202,Place202,-79.05387,78.58686,Description202,3,11
203,Place203,-58.72025,-81.57903,Description203,2,11
204,Place204,20.13114,-154.33329,Description204,2,11
205,Place205,-50.8477,-86.27415,Description205,,11
206,Place206,62.91273,-134.98631,Description206,3,12
207,Place207,21.08221,-135.10044,Description207,3,12
208,Place208,-21.61252,33.38508,Description208,2,12
209,Place209,7.30296,105.96993,Description209,8,12
210,Place210,1.85953,-68.73958,Description210,6,12
211,Place211,11.29594,17.20705,Description211,2,12
212,Place212,-67.86382,71.86965,Description212,2,12
213,Place213,22.21138,97.36417,Description213,6,12
214,Place214,37.09706,51.81093,Description214,7,12
215,Place215,-15.46323,-106.18088,Description215,8,12
216,Place216,1.28435,-161.85093,Description216,5,12
217,Place217,-1.02733,2.5603,Description217,3,12
218,Place218,-8.45988,-149.1993,Description218,,12
219,Place219,-26.95255,-43.79336,Description219,2,12
220,Place220,38.12026,75.01146,Description220,,12
221,Place221,7.36426,177.7422,Description221,5,12
222,Place222,-5.52942,26.00913,Description222,6,12
223,Place223,2.9656,25.18845,Description223,6,12
224,Place224,7.75376,-6.23881,Description224,,12
225,Place225,-11.22635,-145.72257,Description225,8,12
226,Place226,59.04841,-4.94411,Description226,7,12
227,Place227,5.35045,174.90919,Description227,6,12
228,Place228,59.75641,-61.27236,Description228,3,12
229,Place229,-7.4222,131.51109,Description229,2,12
230,Place230,-8.6723,-118.2708,Description230,10,12
231,Place231,-33.3135,-111.59089,Description231,6,12
232,Place232,17.55976,33.82303,Description232,6,12
233,Place233,-73.1844,-70.36874,Description233,5,14
234,Place234,-28.84833,117.54645,Description234,8,14
235,Place235,-47.39592,37.31381,Description235,2,14
236,Place236,32.18354,-14.54181,Description236,2,14
237,Place237,44.89619,-150.45012,Description237,10,14
238,Place238,15.268,141.76316,Description238,10,14
239,Place239,-17.19982,-174.31385,Description239,3,14
240,Place240,-0.17549,-131.02003,Description240,7,14
241,Place241,-57.49588,-89.27302,Description241,10,14
242,Place242,33.47869,-86.62422,Description242,2,14
243,Place243,14.21978,-51.84331,Description243,5,14
244,Place244,-71.2946,49.82127,Description244,8,14
245,Place245,-62.9602,131.19626,Description245,3,14
246,Place246,2.13975,-68.73675,Description246,7,14
247,Place247,42.67421,-144.92439,Description247,,14
248,Place248,-68.99375,-13.3455,Description248,,15
249,Place249,21.76696,93.60721,Description249,10,15
250,Place250,46.36831,146.91426,Description250,8,15
251,Place251,28.42952,50.99994,Description251,10,15
252,Place252,50.71847,-128.43231,Description252,8,15
253,Place253,53.00654,147.25617,Description253,3,15
